Report Date,Borough,Community Districts,Census Type,Adult Family Commercial Hotel,Adult Family Shelter,Adult Shelter,Adult Shelter Commercial Hotel,Family Cluster,Family with Children Commercial Hotel,Family with Children Shelter
03/31/2024,Bronx,1,Individuals,,,520,251,,249,1206
03/31/2024,Bronx,2,Individuals,,137,,,,,834
03/31/2024,Bronx,3,Individuals,,,725,117,,,1336
03/31/2024,Bronx,4,Individuals,,,415,,,333,2149
03/31/2024,Bronx,5,Individuals,,176,688,,,,1833
03/31/2024,Bronx,6,Individuals,,,48,,,1183,1985
03/31/2024,Bronx,7,Individuals,,,574,,,641,441
03/31/2024,Bronx,8,Individuals,,,,,,,213
03/31/2024,Bronx,9,Individuals,,,266,,,289,1173
03/31/2024,Bronx,10,Individuals,,,,,,,536
03/31/2024,Bronx,11,Individuals,,,,,,,
03/31/2024,Bronx,12,Individuals,,,491,,,641,559
03/31/2024,Brooklyn,1,Individuals,,144,1109,,,519,
03/31/2024,Brooklyn,2,Individuals,,95,711,,,,69
03/31/2024,Brooklyn,3,Individuals,56,,363,160,,474,424
03/31/2024,Brooklyn,4,Individuals,61,,199,130,,,794
03/31/2024,Brooklyn,5,Individuals,,,894,235,,920,516
03/31/2024,Brooklyn,6,Individuals,,93,288,272,,618,528
03/31/2024,Brooklyn,7,Individuals,,,271,578,,362,333
03/31/2024,Brooklyn,8,Individuals,,,320,85,,144,314
03/31/2024,Brooklyn,9,Individuals,,,363,,,,361
03/31/2024,Brooklyn,10,Individuals,,,,,,,
03/31/2024,Brooklyn,11,Individuals,,,,,,,
03/31/2024,Brooklyn,12,Individuals,,,125,,,,132
03/31/2024,Brooklyn,13,Individuals,,,,74,,,405
03/31/2024,Brooklyn,14,Individuals,,,389,,,170,84
03/31/2024,Brooklyn,15,Individuals,,,,,,137,469
03/31/2024,Brooklyn,16,Individuals,,,630,535,,808,2365
03/31/2024,Brooklyn,17,Individuals,,,,,,294,1565
03/31/2024,Brooklyn,18,Individuals,,354,,,,193,1005
03/31/2024,Manhattan,1,Individuals,,,,,,586,
03/31/2024,Manhattan,2,Individuals,,,,,,319,
03/31/2024,Manhattan,3,Individuals,,,768,234,,103,105
03/31/2024,Manhattan,4,Individuals,,,381,215,,1148,368
03/31/2024,Manhattan,5,Individuals,,297,75,43,,2469,1006
03/31/2024,Manhattan,6,Individuals,,,410,,,247,507
03/31/2024,Manhattan,7,Individuals,,154,95,,,949,526
03/31/2024,Manhattan,8,Individuals,,,70,,,538,
03/31/2024,Manhattan,9,Individuals,,,28,,,,747
03/31/2024,Manhattan,10,Individuals,,,692,,,,569
03/31/2024,Manhattan,11,Individuals,,,1198,,,,512
03/31/2024,Manhattan,12,Individuals,,,380,,,,
03/31/2024,Queens,1,Individuals,,,192,126,,5084,727
03/31/2024,Queens,2,Individuals,,267,,115,,996,288
03/31/2024,Queens,3,Individuals,,130,,163,,1947,821
03/31/2024,Queens,4,Individuals,,,,89,,125,521
03/31/2024,Queens,5,Individuals,,,396,,,,255
03/31/2024,Queens,6,Individuals,,,,,,,
03/31/2024,Queens,7,Individuals,,,324,,,93,
03/31/2024,Queens,8,Individuals,,,170,,,176,304
03/31/2024,Queens,9,Individuals,,,112,,,,
03/31/2024,Queens,10,Individuals,,,171,159,,664,
03/31/2024,Queens,11,Individuals,,,73,,,180,
03/31/2024,Queens,12,Individuals,52,481,254,183,,4707,2245
03/31/2024,Queens,13,Individuals,,,133,711,,490,837
03/31/2024,Queens,14,Individuals,,295,101,,,338,172
03/31/2024,Staten Island,1,Individuals,,,75,63,,60,286
03/31/2024,Staten Island,2,Individuals,,,,,,700,
03/31/2024,Staten Island,3,Individuals,,,,,,,
03/31/2024,Westchester,,Individuals,,,,,,235,
